,Variable,Units,Description
0,TIMEKEEPING,,
1,TIMESTAMP,YYYYMMDDHHMM,ISO timestamp – short format
2,TIMESTAMP_START,YYYYMMDDHHMM,ISO timestamp start of averaging period – short format
3,TIMESTAMP_END,YYYYMMDDHHMM,ISO timestamp end of averaging period – short format
4,,,
5,MICROMETEOROLOGICAL,,
6,TA_F_MDS,,"Air temperature, gapfilled using MDS method"
7,HH,deg C,
8,DD,deg C,average from half-hourly data
9,WW-YY,deg C,average from daily data
10,TA_F_MDS_QC,,Quality flag for TA_F_MDS
11,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
12,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
13,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
14,TA_F_MDS_NIGHT,,Average nighttime TA_F_MDS
15,HH,,not produced
16,DD,deg C,average from half-hourly data
17,WW-YY,deg C,average from daily data
18,TA_F_MDS_NIGHT_SD,,Standard deviation for TA_F_MDS_NIGHT
19,HH,,not produced
20,DD,deg C,from half-hourly data
21,WW-YY,deg C,average SD from daily data
22,TA_F_MDS_NIGHT_QC,,Quality flag for TA_F_MDS_NIGHT
23,HH,,not produced
24,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
25,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
26,TA_F_MDS_DAY,,Average daytime TA_F_MDS
27,HH,,not produced
28,DD,deg C,average from half-hourly data
29,WW-YY,deg C,average from daily data
30,TA_F_MDS_DAY_SD,,Standard deviation for TA_F_MDS_DAY
31,HH,,not produced
32,DD,deg C,from half-hourly data
33,WW-YY,deg C,average SD from daily data
34,TA_F_MDS_DAY_QC,,Quality flag for TA_F_MDS_DAY
35,HH,,not produced
36,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
37,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
38,TA_ERA,,"Air temperature, downscaled from ERA, linearly regressed using measured only site data"
39,HH,deg C,
40,DD,deg C,average from half-hourly data
41,WW-YY,deg C,average from daily data
42,TA_ERA_NIGHT,,Average nighttime TA_ERA
43,HH,,not produced
44,DD,deg C,average from half-hourly data
45,WW-YY,deg C,average from daily data
46,TA_ERA_NIGHT_SD,,Standard deviation for TA_ERA_NIGHT
47,HH,,not produced
48,DD,deg C,from half-hourly data
49,WW-YY,deg C,average SD from daily data
50,TA_ERA_DAY,,Average daytime TA_ERA
51,HH,,not produced
52,DD,deg C,average from half-hourly data
53,WW-YY,deg C,average from daily data
54,TA_ERA_DAY_SD,,Standard deviation for TA_ERA_DAY
55,HH,,not produced
56,DD,deg C,from half-hourly data
57,WW-YY,deg C,average SD from daily data
58,TA_F,,"Air temperature, consolidated from TA_F_MDS and TA_ERA"
59,HH,deg C,TA_F_MDS used if TA_F_MDS_QC is 0 or 1
60,DD,deg C,average from half-hourly data
61,WW-YY,deg C,average from daily data
62,TA_F_QC,,Quality flag for TA_F
63,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
64,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
65,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
66,TA_F_NIGHT,,Average nighttime TA_F
67,HH,,not produced
68,DD,deg C,average from half-hourly data
69,WW-YY,deg C,average from daily data
70,TA_F_NIGHT_SD,,Standard deviation for TA_F_NIGHT
71,HH,,not produced
72,DD,deg C,from half-hourly data
73,WW-YY,deg C,average SD from daily data
74,TA_F_NIGHT_QC,,Quality flag for TA_F_NIGHT
75,HH,,not produced
76,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
77,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
78,TA_F_DAY,,Average daytime TA_F
79,HH,,not produced
80,DD,deg C,average from half-hourly data
81,WW-YY,deg C,average from daily data
82,TA_F_DAY_SD,,Standard deviation for TA_F_DAY
83,HH,,not produced
84,DD,deg C,from half-hourly data
85,WW-YY,deg C,average SD from daily data
86,TA_F_DAY_QC,,Quality flag for TA_F_DAY
87,HH,,not produced
88,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
89,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
90,SW_IN_POT,,"Shortwave radiation, incoming, potential (top of atmosphere)"
91,HH,W m-2,
92,DD,W m-2,average from half-hourly data
93,WW-MM,W m-2,average from daily data
94,YY,W m-2,not defined
95,SW_IN_F_MDS,,"Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise)"
96,HH,W m-2,
97,DD,W m-2,average from half-hourly data
98,WW-YY,W m-2,average from daily data
99,SW_IN_F_MDS_QC,,Quality flag for SW_IN_F_MDS
100,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
101,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
102,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
103,SW_IN_ERA,,"Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero)"
104,HH,W m-2,
105,DD,W m-2,average from half-hourly data
106,WW-YY,W m-2,average from daily data
107,SW_IN_F,,"Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero)"
108,HH,W m-2,SW_IN_F_MDS used if SW_IN_F_MDS_QC is 0 or 1
109,DD,W m-2,average from half-hourly data
110,WW-YY,W m-2,average from daily data
111,SW_IN_F_QC,,Quality flag for SW_IN_F
112,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
113,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
114,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
115,LW_IN_F_MDS,,"Longwave radiation, incoming, gapfilled using MDS"
116,HH,W m-2,
117,DD,W m-2,average from half-hourly data
118,WW-YY,W m-2,average from daily data
119,LW_IN_F_MDS_QC,,Quality flag for LW_IN_F_MDS
120,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
121,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
122,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
123,LW_IN_ERA,,"Longwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data"
124,HH,W m-2,
125,DD,W m-2,average from half-hourly data
126,WW-YY,W m-2,average from daily data
127,LW_IN_F,,"Longwave radiation, incoming, consolidated from LW_IN_F_MDS and LW_IN_ERA"
128,HH,W m-2,LW_IN_F_MDS used if LW_IN_F_MDS_QC is 0 or 1
129,DD,W m-2,average from half-hourly data
130,WW-YY,W m-2,average from daily data
131,LW_IN_F_QC,,Quality flag for LW_IN_F
132,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
133,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
134,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
135,LW_IN_JSB,,"Longwave radiation, incoming, calculated from TA_F_MDS, SW_IN_F_MDS, VPD_F_MDS and SW_IN_POT using the JSBACH algorithm (Sonke Zaehle)"
136,HH,W m-2,
137,DD,W m-2,average from half-hourly data
138,WW-YY,W m-2,average from daily data
139,LW_IN_JSB_QC,,Quality flag for LW_IN_JSB
140,HH,nondimensional,"highest from TA_F_MDS_QC, SW_IN_F_MDS_QC, and VPD_F_MDS_QC, poorest quality prevails"
141,DD,nondimensional,"fraction between 0-1, indicating percentage of calculated LW_IN starting from measured and good quality gapfill drivers data"
142,WW-YY,nondimensional,"fraction between 0-1, indicating percentage ofcalculated LW_IN starting from measured and good quality gapfill drivers data (average from daily data)"
143,LW_IN_JSB_ERA,,"Longwave radiation, incoming, downscaled from ERA, linearly regressed using site level LW_IN_JSB calculated from measured only drivers"
144,HH,W m-2,
145,DD,W m-2,average from half-hourly data
146,WW-YY,W m-2,average from daily data
147,LW_IN_JSB_F,,"Longwave radiation, incoming, consolidated from LW_IN_JSB and LW_IN_JSB_ERA"
148,HH,W m-2,LW_IN_JSB used if LW_IN_JSB_QC is 0 or 1
149,DD,W m-2,average from half-hourly data
150,WW-YY,W m-2,average from daily data
151,LW_IN_JSB_F_QC,,Quality flag for LW_IN_JSB_F
152,HH,nondimensional,0 = calculated from measured drivers; 1 = calculated from good quality gapfilled drivers; 2: downscaled from ERA
153,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
154,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
155,VPD_F_MDS,,"Vapor Pressure Deficit, gapfilled using MDS"
156,HH,hPa,
157,DD,hPa,average from half-hourly data
158,WW-YY,hPa,average from daily data
159,VPD_F_MDS_QC,,Quality flag for VPD_F_MDS
160,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
161,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
162,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
163,VPD_ERA,,"Vapor Pressure Deficit, downscaled from ERA, linearly regressed using measured only site data"
164,HH,hPa,
165,DD,hPa,average from half-hourly data
166,WW-YY,hPa,average from daily data
167,VPD_F,,Vapor Pressure Deficit consolidated from VPD_F_MDS and VPD_ERA
168,HH,hPa,VPD_F_MDS used if VPD_F_MDS_QC is 0 or 1
169,DD,hPa,average from half-hourly data
170,WW-YY,hPa,average from daily data
171,VPD_F_QC,,Quality flag for VPD_F
172,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
173,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
174,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
175,PA,,Atmospheric pressure
176,HH,kPa,
177,DD-YY,kPa,not defined
178,PA_ERA,,"Atmospheric pressure, downscaled from ERA, linearly regressed using measured only site data"
179,HH,kPa,
180,DD,kPa,average from half-hourly data
181,WW-YY,kPa,average from daily data
182,PA_F,,Atmospheric pressure consolidated from PA and PA_ERA
183,HH,kPa,PA used if measured
184,DD,kPa,average from half-hourly data
185,WW-YY,kPa,average from daily data
186,PA_F_QC,,Quality flag for PA_F
187,HH,nondimensional,0 = measured; 2 = downscaled from ERA
188,DD,nondimensional,"fraction between 0-1, indicating percentage of measured data"
189,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured data (average from daily data)"
190,P,,Precipitation
191,HH,mm,
192,DD-YY,,not defined
193,P_ERA,,"Precipitation, downscaled from ERA, linearly regressed using measured only site data"
194,HH,mm,(mm per dataset resolution: either hour or half-hour)
195,DD,mm d-1,sum from half-hourly data (mm per day)
196,"WW-MM
YY","mm d-1
mm y-1","average from daily data (mm per day)
sum from daily data (mm per year)"
197,P_F,,Precipitation consolidated from P and P_ERA
198,HH,mm,P used if measured (mm per dataset resolution: either hour or half-hour)
199,DD,mm d-1,sum from half-hourly data (mm per day)
200,"WW-MM
YY","mm d-1
mm y-1","average from daily data (mm per day)
sum from daily data (mm per year)"
201,P_F_QC,,Quality flag for P_F
202,HH,nondimensional,0 = measured; 2 = downscaled from ERA
203,DD,nondimensional,"fraction between 0-1, indicating percentage of measured data"
204,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured data (average from daily data)"
205,WS,,Wind speed
206,HH,m s-1,
207,DD-YY,m s-1,not defined
208,WS_ERA,,"Wind speed, downscaled from ERA, linearly regressed using measured only site data"
209,HH,m s-1,
210,DD,m s-1,average from half-hourly data
211,WW-YY,m s-1,average from daily data
212,WS_F,,"Wind speed, consolidated from WS and WS_ERA"
213,HH,m s-1,WS used if measured
214,DD,m s-1,average from half-hourly data
215,WW-YY,m s-1,average from daily data
216,WS_F_QC,,Quality flag of WS_F
217,HH,nondimensional,0 = measured; 2 = downscaled from ERA
218,DD,nondimensional,"fraction between 0-1, indicating percentage of measured data"
219,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured data (average from daily data)"
220,WD,,Wind direction
221,HH,Decimal degrees,
222,DD-YY,Decimal degrees,not defined
223,RH,,"Relative humidity, range 0-100"
224,HH,%,
225,DD-YY,%,not defined
226,USTAR,,Friction velocity
227,HH,m s-1,
228,DD,m s-1,average from half-hourly data (only days with more than 50% records available)
229,WW-YY,m s-1,average from daily data (only periods with more than 50% records available)
230,USTAR_QC,,Quality flag of USTAR
231,HH,nondimensional,not defined
232,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
233,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
234,NETRAD,,Net radiation
235,HH,W m-2,
236,DD,W m-2,average from half-hourly data (only days with more than 50% records available)
237,WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
238,NETRAD_QC,,Quality flag of NETRAD
239,HH,nondimensional,not defined
240,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
241,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
242,PPFD_IN,,"Photosynthetic photon flux density, incoming"
243,HH,µmolPhoton m-2 s-1,
244,DD,µmolPhoton m-2 s-1,average from half-hourly data (only days with more than 50% records available)
245,WW-YY,µmolPhoton m-2 s-1,average from daily data (only periods with more than 50% records available)
246,PPFD_IN_QC,,Quality flag of PPFD_IN
247,HH,nondimensional,not defined
248,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
249,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
250,PPFD_DIF,,"Photosynthetic photon flux density, diffuse incoming"
251,HH,µmolPhoton m-2 s-1,
252,DD,µmolPhoton m-2 s-1,average from half-hourly data (only days with more than 50% records available)
253,WW-YY,µmolPhoton m-2 s-1,average from daily data (only periods with more than 50% records available)
254,PPFD_DIF_QC,,Quality flag of PPFD_DIF
255,HH,nondimensional,not defined
256,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
257,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
258,PPFD_OUT,,"Photosynthetic photon flux density, outgoing"
259,HH,µmolPhoton m-2 s-1,
260,DD,µmolPhoton m-2 s-1,average from half-hourly data (only days with more than 50% records available)
261,WW-YY,µmolPhoton m-2 s-1,average from daily data (only periods with more than 50% records available)
262,PPFD_OUT_QC,,Quality flag of PPFD_OUT
263,HH,nondimensional,not defined
264,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
265,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
266,SW_DIF,,"Shortwave radiation, diffuse incoming"
267,HH,W m-2,
268,DD,W m-2,average from half-hourly data (only days with more than 50% records available)
269,WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
270,SW_DIF_QC,,Quality flag of SW_DIF
271,HH,nondimensional,not defined
272,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
273,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
274,SW_OUT,,"Shortwave radiation, outgoing"
275,HH,W m-2,
276,DD,W m-2,average from half-hourly data (only days with more than 50% records available)
277,WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
278,SW_OUT_QC,,Quality flag of SW_OUT
279,HH,nondimensional,not defined
280,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
281,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
282,LW_OUT,,"Longwave radiation, outgoing"
283,HH,W m-2,
284,DD,W m-2,average from half-hourly data (only days with more than 50% records available)
285,WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
286,LW_OUT_QC,,Quality flag of LW_OUT
287,HH,nondimensional,not defined
288,DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
289,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
290,CO2_F_MDS,,"CO2 mole fraction, gapfilled with MDS"
291,HH,umolCO2 mol-1,
292,DD,umolCO2 mol-1,average from half-hourly data
293,WW-YY,umolCO2 mol-1,average from daily data
294,CO2_F_MDS_QC,,Quality flag for CO2_F_MDS
295,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
296,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
297,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
298,TS_F_MDS_#,,"Soil temperature, gapfilled with MDS (numeric index “#” increases with the depth, 1 is shallowest)"
299,HH,deg C,
300,DD,deg C,average from half-hourly data
301,WW-YY,deg C,average from daily data
302,TS_F_MDS_#_QC,,Quality flag for TS_F_MDS_#
303,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
304,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
305,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
306,SWC_F_MDS_#,,"Soil water content, gapfilled with MDS (numeric index “#” increases with the depth, 1 is shallowest)"
307,HH,%,
308,DD,%,average from half-hourly data
309,WW-YY,%,average from daily data
310,SWC_F_MDS_#_QC,,Quality flag for SWC_F_MDS_#
311,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
312,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
313,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
314,,,
315,ENERGY PROCESSING,,
316,G_F_MDS,,Soil heat flux
317,HH,W m-2,
318,DD,W m-2,average from half-hourly data
319,WW-YY,W m-2,average from daily data
320,G_F_MDS_QC,,Quality flag of G_F_MDS
321,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
322,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
323,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
324,LE_F_MDS,,"Latent heat flux, gapfilled using MDS method"
325,HH,W m-2,
326,DD,W m-2,average from half-hourly data
327,WW-YY,W m-2,average from daily data
328,LE_F_MDS_QC,,"Quality flag for LE_F_MDS, LE_CORR, LE_CORR25, and LE_CORR75."
329,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
330,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
331,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
332,LE_CORR,,"Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor"
333,HH,W m-2,
334,DD,W m-2,average from half-hourly data
335,WW-YY,W m-2,average from daily data
336,LE_CORR_25,,"Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 25th percentile"
337,HH,W m-2,
338,DD,W m-2,average from half-hourly data
339,WW-YY,,not produced
340,LE_CORR_75,,"Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 75th percentile"
341,HH,W m-2,
342,DD,W m-2,average from half-hourly data
343,WW-YY,,not produced
344,LE_RANDUNC,,"Random uncertainty of LE, from measured only data"
345,HH,W m-2,uses only data point where LE_F_MDS_QC is 0 and two hierarchical methods (see header and LE_RANDUNC_METHOD)
346,DD-YY,W m-2,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
347,LE_RANDUNC_METHOD,,Method used to estimate the random uncertainty of LE
348,HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
349,DD-YY,,not produced
350,LE_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of LE
351,HH,nondimensional,
352,DD-YY,,not produced
353,LE_CORR_JOINTUNC,,Joint uncertainty estimation for LE
354,HH-DD,W m-2,[SQRT(LE_RANDUNC^2 + ((LE_CORR75 – LE_CORR25) / 1.349)^2)]
355,WW-YY,,not produced
356,H_F_MDS,,"Sensible heat flux, gapfilled using MDS method"
357,HH,W m-2,
358,DD,W m-2,average from half-hourly data
359,WW-YY,W m-2,average from daily data
360,H_F_MDS_QC,,"Quality flag for H_F_MDS, H_CORR, H_CORR25, and H_CORR75."
361,HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
362,DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
363,WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
364,H_CORR,,"Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor"
365,HH,W m-2,
366,DD,W m-2,average from half-hourly data
367,WW-YY,W m-2,average from daily data
368,H_CORR_25,,"Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 25th percentile"
369,HH,W m-2,
370,DD,W m-2,average from half-hourly data
371,WW-YY,,not produced
372,H_CORR_75,,"Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 75th percentile"
373,HH,W m-2,
374,DD,W m-2,average from half-hourly data
375,WW-YY,,not produced
376,H_RANDUNC,,"Random uncertainty of H, from measured only data"
377,HH,W m-2,uses only data point where H_F_MDS_QC is 0 and two hierarchical methods (see header and H_RANDUNC_METHOD)
378,DD-YY,W m-2,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
379,H_RANDUNC_METHOD,,Method used to estimate the random uncertainty of H
380,HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
381,DD-YY,,not produced
382,H_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of H
383,HH,nondimensional,
384,DD-YY,,not produced
385,H_CORR_JOINTUNC,,Joint uncertainty estimation for H
