TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
202001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.252,5.003,1.145,5.774,0.577,5.252,0.0,5.003,1.145,0.0,5.774,0.577,0.0,65.598,-9999,-9999,16.909,16.909,0.0,-9999,-9999,306.786,306.786,0.0,-9999,-9999,303.868,303.868,0.0,-9999,-9999,0.564,0.564,0.0,99.879,99.879,0.0,2.967,2.967,0.0,4.79,4.79,0.0,-9999,-9999,-9999,-9999,-9999,-9999,68.3173,-9999,-9999,-9999,71.8646,-9999,-9999,-9999,-9999,-9999,32.2903,15.7097,0.0,0.0,-5.33872,0.0,-9999,-9999,-5.13772,0.0,-9999,-9999,-5.16222,0.0,0.0152096,-5.29489,-5.24818,-5.24818,-5.13816,-5.03735,-5.03735,-5.03735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14391,7.14198,0.0,-9999,-9999,-13.3591,2.58222,0.0,-9999,-9999,-0.855693,6.05943,0.0,-9999,-9999,-13.3591,2.58222,0.0,-9999,-9999,-1.08107,-1.01407,-1.01407,-0.856312,-0.711792,-0.711792,-0.711792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.3591,-13.3591,-13.3591,-13.3591,-13.3591,-13.3591,-13.3591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.17436,2.17436,2.18748,0.00330843,2.15427,2.16849,2.16849,2.17881,2.21002,2.21045,2.21993,1.61436,1.6171,1.63573,0.00341315,1.61436,1.61436,1.61559,1.61945,1.65652,1.6567,1.66158,-9999,-9999
202002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.244,3.826,1.136,4.833,0.936,4.244,0.0,3.826,1.136,0.0,4.833,0.936,0.0,129.098,-9999,-9999,39.166,39.166,0.0,-9999,-9999,295.395,295.395,0.0,-9999,-9999,298.329,298.329,0.0,-9999,-9999,0.757,0.757,0.0,98.686,98.686,0.0,5.396,5.396,0.0,5.389,5.389,0.0,-9999,-9999,-9999,-9999,-9999,-9999,68.3841,-9999,-9999,-9999,72.0775,-9999,-9999,-9999,-9999,-9999,28.3103,19.6897,0.0,0.0,-5.34014,0.0,-9999,-9999,-5.13625,0.0,-9999,-9999,-5.16027,0.0,0.0156152,-5.29474,-5.24825,-5.24825,-5.13671,-5.03152,-5.03152,-5.03152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0910944,6.64479,0.0,-9999,-9999,-12.6622,3.03463,0.0,-9999,-9999,0.406828,5.18753,0.0,-9999,-9999,-12.6379,3.04362,0.0,-9999,-9999,0.148361,0.224413,0.224413,0.40607,0.578066,0.578066,0.578066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6395,-12.6395,-12.6395,-12.6379,-12.6379,-12.6379,-12.6379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.90019,1.90019,1.91166,0.00289127,1.88264,1.89506,1.89506,1.90408,1.93136,1.93173,1.94002,3.1211,3.12572,3.15204,0.00489083,3.1211,3.1211,3.12316,3.1297,3.18278,3.18308,3.1911,-9999,-9999
202003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.946,2.535,1.491,5.266,1.906,3.946,0.0,2.535,1.491,0.0,5.266,1.906,0.0,230.966,-9999,-9999,108.871,108.871,0.0,-9999,-9999,269.275,269.275,0.0,-9999,-9999,285.626,285.626,0.0,-9999,-9999,1.524,1.524,0.0,100.036,100.036,0.0,1.771,1.771,0.0,4.02,4.02,0.0,-9999,-9999,-9999,-9999,-9999,-9999,68.3173,-9999,-9999,-9999,71.8646,-9999,-9999,-9999,-9999,-9999,23.7742,24.2258,0.0,0.0,-5.33872,0.0,-9999,-9999,-5.13772,0.0,-9999,-9999,-5.16222,0.0,0.0152096,-5.29489,-5.24818,-5.24818,-5.13816,-5.03735,-5.03735,-5.03735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93204,5.13816,0.0,-9999,-9999,-12.058,3.5884,0.0,-9999,-9999,2.01738,3.67815,0.0,-9999,-9999,-11.7769,3.63908,0.0,-9999,-9999,1.86302,1.87213,1.87213,2.01654,2.19057,2.19057,2.19057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8414,-11.8414,-11.8414,-11.7769,-11.758,-11.758,-11.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.88127,1.88127,1.89262,0.00286247,1.86389,1.87619,1.87619,1.88512,1.91212,1.91249,1.9207,6.18961,6.19685,6.22177,0.0050865,6.18961,6.18961,6.19278,6.20235,6.25602,6.25654,6.26848,-9999,-9999
202004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.049,4.446,1.808,8.74,2.711,7.049,0.0,4.446,1.808,0.0,8.74,2.711,0.0,344.832,-9999,-9999,180.818,180.818,0.0,-9999,-9999,277.287,277.287,0.0,-9999,-9999,289.522,289.522,0.0,-9999,-9999,2.704,2.704,0.0,100.275,100.275,0.0,1.375,1.375,0.0,3.731,3.731,0.0,-9999,-9999,-9999,-9999,-9999,-9999,68.3496,-9999,-9999,-9999,71.9675,-9999,-9999,-9999,-9999,-9999,18.9667,29.0333,0.0,0.0,-5.33941,0.0,-9999,-9999,-5.13701,0.0,-9999,-9999,-5.16128,0.0,0.0154055,-5.29482,-5.24821,-5.24821,-5.13746,-5.03453,-5.03453,-5.03453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04016,1.75697,0.0,-9999,-9999,-11.1506,4.51285,0.0,-9999,-9999,3.59064,1.36758,0.0,-9999,-9999,-10.5357,4.52043,0.0,-9999,-9999,3.52775,3.54194,3.54194,3.59064,3.62435,3.62435,3.62435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.6791,-10.6791,-10.6791,-10.5357,-10.3972,-10.3972,-10.3972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.09082,3.09082,3.10947,0.00470288,3.06226,3.08247,3.08247,3.09714,3.14151,3.14211,3.1556,8.8246,8.83383,8.85421,0.00500519,8.80723,8.8246,8.8246,8.84088,8.88818,8.88886,8.90371,-9999,-9999
202005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.377,6.704,1.307,10.548,2.439,9.377,0.0,6.704,1.307,0.0,10.548,2.439,0.0,437.174,-9999,-9999,225.125,225.125,0.0,-9999,-9999,294.97,294.97,0.0,-9999,-9999,298.121,298.121,0.0,-9999,-9999,2.516,2.516,0.0,100.373,100.373,0.0,2.171,2.171,0.0,3.663,3.663,0.0,-9999,-9999,-9999,-9999,-9999,-9999,68.5194,-9999,-9999,-9999,72.1997,-9999,-9999,-9999,-9999,-9999,14.7742,33.2258,0.0,0.0,-5.33884,0.0,-9999,-9999,-5.14168,0.0,-9999,-9999,-5.16332,0.0,0.0153728,-5.29663,-5.24956,-5.24956,-5.14211,-5.0358,-5.0358,-5.0358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75023,0.809369,0.0,-9999,-9999,-9.55818,6.02377,0.0,-9999,-9999,4.11577,0.480335,0.0,-9999,-9999,-9.00201,5.9309,0.0,-9999,-9999,4.09758,4.10866,4.10866,4.11577,4.11577,4.11577,4.11642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.15313,-9.1524,-9.1524,-9.00242,-8.85062,-8.85062,-8.85062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.15549,4.15549,4.18056,0.00632284,4.11709,4.14426,4.14426,4.16399,4.22364,4.22445,4.24258,10.3371,10.3475,10.3658,0.00517102,10.3057,10.3371,10.3371,10.3555,10.4002,10.4009,10.4176,-9999,-9999
202006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.284,12.344,1.441,16.303,2.509,15.284,0.0,12.344,1.441,0.0,16.303,2.509,0.0,480.065,-9999,-9999,229.275,229.275,0.0,-9999,-9999,338.434,338.434,0.0,-9999,-9999,319.258,319.258,0.0,-9999,-9999,3.73,3.73,0.0,99.846,99.846,0.0,5.048,5.048,0.0,3.059,3.059,0.0,-9999,-9999,-9999,-9999,-9999,-9999,68.3496,-9999,-9999,-9999,71.9675,-9999,-9999,-9999,-9999,-9999,12.3667,35.6333,0.0,0.0,-5.33941,0.0,-9999,-9999,-5.13701,0.0,-9999,-9999,-5.16128,0.0,0.0154055,-5.29482,-5.24821,-5.24821,-5.13746,-5.03453,-5.03453,-5.03453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96871,0.630972,0.0,-9999,-9999,-8.65691,6.74553,0.0,-9999,-9999,4.2477,0.382509,0.0,-9999,-9999,-8.14418,6.57675,0.0,-9999,-9999,4.20539,4.2477,4.2477,4.2477,4.2477,4.2477,4.2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.28868,-8.28868,-8.28868,-8.14476,-8.01126,-8.01126,-8.01126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.1622,8.1622,8.21145,0.0124193,8.08679,8.14014,8.14014,8.17891,8.29606,8.29766,8.33326,10.787,10.7981,10.8201,0.00574088,10.7599,10.787,10.787,10.8066,10.8587,10.8596,10.8773,-9999,-9999
202007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.477,11.265,1.298,14.365,1.855,13.477,0.0,11.265,1.298,0.0,14.365,1.855,0.0,457.121,178.965,0.682796,182.488,176.569,0.682796,-9999,-9999,335.542,335.542,0.0,-9999,-9999,317.852,317.852,0.0,-9999,-9999,2.361,2.361,0.0,99.772,99.775,0.745296,4.05,3.232,0.747312,3.918,4.083,0.745296,0.5462561267477698,0.6485215053763441,403.582,0.747984,-9999,-9999,70.4002,-9999,-9999,-9999,44.8282,-9999,-9999,-9999,-9999,-9999,13.6452,34.3548,0.0,0.0,-4.37612,0.72379,-9999,-9999,-3.97305,0.735215,-9999,-9999,-4.01563,0.734241,0.0129478,-4.13163,-4.07672,-4.05016,-3.97959,-3.95122,-3.94153,-3.94153,0.730511,0.733199,0.733199,0.735215,0.736559,0.736559,0.736559,4.61037,2.29103,0.702233,-9999,-9999,-7.69776,8.04676,0.73177,-9999,-9999,4.646,2.6449,0.727047,-9999,-9999,-7.18047,8.35434,0.738222,-9999,-9999,4.5888,4.59043,4.61037,4.6211,4.64116,4.66469,4.66964,0.727047,0.727047,0.702233,0.727047,0.727047,0.727047,0.727047,-7.38919,-7.31894,-7.27992,-7.18047,-7.12851,-7.12769,-7.12769,0.734535,0.735457,0.735457,0.738222,0.740065,0.740065,0.740065,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.35322,5.35322,5.31812,0.0146769,5.13187,5.25865,5.25927,5.33679,5.38142,5.38835,5.39011,9.08004,9.12764,9.07865,0.0149844,8.89346,8.93382,9.07876,9.1251,9.14348,9.14449,9.154,-9999,-9999
202008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.941,13.954,1.529,18.61,2.843,16.941,0.0,13.954,1.529,0.0,18.61,2.843,0.0,377.269,183.862,1.0,182.184,183.862,1.0,-9999,-9999,346.747,346.747,0.0,-9999,-9999,323.301,323.301,0.0,-9999,-9999,4.215,4.215,0.0,99.802,99.817,0.998656,2.824,2.568,1.0,2.724,3.163,0.998656,0.41479673046152277,0.8810483870967744,390.935,1.0,-9999,-9999,66.8633,-9999,-9999,-9999,40.8104,-9999,-9999,-9999,-9999,-9999,17.4194,30.5806,0.0,0.0,-1.34449,1.0,-9999,-9999,-1.13109,1.0,-9999,-9999,-1.12723,1.0,0.0100506,-1.21573,-1.18792,-1.17938,-1.12933,-1.06812,-1.06361,-1.0592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.08641,0.789504,1.0,-9999,-9999,-4.90687,7.04547,1.0,-9999,-9999,5.23993,1.70912,1.0,-9999,-9999,-4.68701,7.45106,1.0,-9999,-9999,5.08641,5.10948,5.13599,5.21542,5.25921,5.27476,5.30215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-4.85589,-4.75627,-4.73663,-4.68701,-4.55614,-4.54692,-4.52051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.56142,5.56142,5.66786,0.0540062,5.10301,5.25791,5.40153,5.66691,5.87994,6.02371,6.13578,6.81108,6.7002,6.78355,0.0205043,6.5543,6.66527,6.67585,6.7793,6.85611,6.91491,6.97207,-9999,-9999
202009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.75,10.923,1.543,14.272,2.018,12.75,0.0,10.923,1.543,0.0,14.272,2.018,0.0,269.461,112.094,1.0,107.462,112.094,1.0,-9999,-9999,333.626,333.626,0.0,-9999,-9999,316.92,316.92,0.0,-9999,-9999,2.001,2.001,0.0,99.988,99.994,1.0,1.087,0.933,1.0,3.329,3.586,1.0,0.4755218415615084,0.8763888888888887,402.189,1.0,-9999,-9999,47.4559,-9999,-9999,-9999,6.00062,-9999,-9999,-9999,-9999,-9999,21.9,26.1,0.0,0.0,-1.48892,1.0,-9999,-9999,-1.68295,1.0,-9999,-9999,-1.67621,1.0,0.00742988,-1.72486,-1.71396,-1.71224,-1.69131,-1.64232,-1.63371,-1.62102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.6037,1.24327,1.0,-9999,-9999,-6.48685,7.79218,1.0,-9999,-9999,4.1065,1.74504,1.0,-9999,-9999,-6.41331,7.87503,1.0,-9999,-9999,4.02837,4.03863,4.04216,4.09932,4.24257,4.26065,4.35931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.55166,-6.45591,-6.45423,-6.43214,-6.42384,-6.40248,-6.40214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.79781,4.79781,4.86593,0.0346679,4.52915,4.6382,4.68095,4.7805,5.11653,5.16144,5.19156,6.77852,6.79723,6.81694,0.0189223,6.6301,6.66774,6.73417,6.77852,6.94995,6.96048,6.9841,-9999,-9999
202010,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.429,8.742,1.095,10.271,1.38,9.744,0.188172,9.107,0.994,0.192396,10.513,1.387,0.182258,161.652,55.643,1.0,56.081,55.643,1.0,-9999,-9999,321.676,321.676,0.0,-9999,-9999,311.109,317.886,0.188172,-9999,-9999,1.097,1.149,0.188172,99.299,99.295,0.998656,3.336,3.813,1.0,3.776,3.832,0.998656,0.5150825584342092,0.8487903225806452,409.044,1.0,-9999,-9999,41.6717,-9999,-9999,1.52263,-18.4551,-9999,-9999,1.56345,-9999,-9999,26.6774,21.3226,11.0323,7.16129,-2.29155,0.999328,0.219295,0.226555,-2.11537,0.999328,0.206807,0.214489,-2.14735,0.999328,0.0108385,-2.29155,-2.20299,-2.20172,-2.11537,-2.09665,-2.08921,-2.06577,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,0.999328,1.41986,2.78202,1.0,0.24031,0.253231,-6.63462,6.74736,0.998387,0.349186,0.349943,1.53227,3.75005,1.0,0.240656,0.25356,-6.43931,7.0698,0.998387,0.344807,0.345573,1.352,1.4171,1.41986,1.53227,1.56324,1.57681,1.58349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.6162,-6.4828,-6.48242,-6.43931,-6.43744,-6.4368,-6.39688,0.998387,0.998387,0.998387,0.998387,0.998387,0.998387,0.998387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.08775,2.08775,2.14328,0.031976,1.90828,1.91386,1.91438,2.13579,2.30923,2.33503,2.44742,3.43516,3.57236,3.52426,0.0126369,3.4332,3.43448,3.43465,3.50552,3.5958,3.60426,3.63896,-9999,-9999
202011,6.985,1.0,6.704,1.109,1.0,7.478,0.92,1.0,6.949,6.62,1.123,7.554,0.896,6.985,1.0,6.704,1.109,1.0,7.478,0.92,1.0,82.435,22.415,1.0,22.907,22.415,1.0,-9999,-9999,317.302,317.302,0.0,317.234,1.0,308.982,317.234,1.0,0.754,1.0,0.745,0.754,1.0,100.247,100.231,0.996528,1.411,2.664,0.983333,4.145,4.154,0.996528,0.5808992721224883,0.8375,422.497,0.999306,-9999,-9999,33.9529,-9999,-9999,1.23005,-27.6064,-9999,-9999,1.42459,-9999,-9999,31.0333,16.9667,31.0,16.9333,-3.06935,0.986806,0.201392,0.210736,-2.6903,0.988194,0.195069,0.204702,-2.70651,0.98816,0.0141781,-2.86435,-2.7597,-2.7597,-2.68844,-2.63923,-2.63559,-2.6025,0.988194,0.988194,0.988194,0.988194,0.988194,0.988194,0.988194,-1.81877,5.07131,0.989655,0.257889,0.270928,-4.97959,4.04836,0.981274,0.250073,0.250562,-1.39482,5.12714,0.989655,0.257086,0.270164,-4.73556,4.07945,0.985441,0.248257,0.24875,-1.59576,-1.48456,-1.48456,-1.39251,-1.32197,-1.31849,-1.27388,0.989655,0.989655,0.989655,0.989655,0.989655,0.989655,0.989655,-4.83613,-4.76107,-4.76001,-4.73527,-4.73254,-4.72978,-4.72442,0.985441,0.985441,0.985441,0.985441,0.985441,0.985441,0.985441,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.8354,1.8354,1.78745,0.0203283,1.57271,1.61481,1.7285,1.79442,1.85943,1.85964,1.9632,1.85197,1.88012,1.85584,0.00577352,1.81384,1.81762,1.84351,1.85181,1.86266,1.87402,1.90702,-9999,-9999
202012,3.606,1.0,3.516,0.819,1.0,3.82,0.426,1.0,3.693,3.558,0.774,4.011,0.406,3.606,1.0,3.516,0.819,1.0,3.82,0.426,1.0,50.0411,6.556,1.0,8.847,6.556,1.0,-9999,-9999,310.863,310.863,0.0,298.33,1.0,305.85,298.33,1.0,0.348,1.0,0.357,0.348,1.0,99.016,99.012,0.373656,3.283,2.816,1.0,3.61,3.658,0.373656,-9999,-9999,429.642,0.760081,-9999,-9999,12.979,-9999,-9999,0.974546,-16.3573,-9999,-9999,0.474872,-9999,-9999,33.4516,14.5484,24.2581,10.9032,-3.42066,0.477151,0.142907,1.93575,-2.46215,0.480511,0.139022,1.93547,-3.62537,0.54249,0.260612,-6.33056,-6.31713,-5.60612,-2.59701,-2.50694,-2.45619,-2.45553,0.688172,0.688172,0.688844,0.479839,0.479839,0.480511,0.480511,-3.09525,2.07703,0.470186,0.159811,2.06519,-3.75679,1.9625,0.492473,0.252026,1.4008,-2.17415,2.08868,0.475045,0.158571,2.06509,-2.82892,2.06271,0.492473,0.249362,1.40033,-6.29305,-6.28541,-5.52604,-2.31971,-2.22764,-2.16742,-2.16666,0.7018,0.7018,0.702749,0.474096,0.474096,0.475045,0.475045,-5.60593,-5.58132,-5.07619,-2.92124,-2.84689,-2.82543,-2.82506,0.653763,0.653763,0.653763,0.492473,0.492473,0.492473,0.492473,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70268,1.70268,1.50178,0.060919,0.75873,1.02363,1.02988,1.65808,1.69764,1.70663,1.79141,0.879901,0.888378,0.855782,0.00871797,0.800354,0.800354,0.803388,0.879274,0.888104,0.888551,0.892039,-9999,-9999
