TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
202001,5.8,1.0,5.222,1.582,1.0,6.865,1.337,1.0,5.694,5.258,1.349,6.498,1.013,5.8,1.0,5.222,1.582,1.0,6.865,1.337,1.0,83.993,30.45,1.0,29.085,30.45,1.0,-9999,-9999,300.011,300.011,0.0,300.291,1.0,307.307,300.291,1.0,0.892,1.0,0.763,0.892,1.0,100.402,100.402,0.0,1.782,1.782,0.0,7.451,6.72,1.0,0.3057992781715123,0.8508064516129031,-18.837495967741933,1.0,58.55836223118279,1.0,428.982,1.0,5.371,1.0,93.077,1.0,-2.29432,1.0,3.21465,1.0,3.29024,0.219938,-19.2786,0.999328,-19.7319,0.988465,0.999328,1,31.2581,16.7419,31.2581,16.7419,0.385511,0.971774,0.00948139,0.0231807,0.378543,0.972446,0.00954113,0.0232052,0.381361,0.971304,0.00303935,0.354813,0.360983,0.368332,0.378543,0.396361,0.403289,0.409382,0.976478,0.973118,0.973118,0.972446,0.968414,0.968414,0.96707,0.807258,0.183666,0.963775,0.00990669,0.0116126,-0.434317,0.904162,0.986717,0.0186813,0.0491507,0.80375,0.188255,0.964783,0.00994634,0.0116465,-0.446971,0.910554,0.986717,0.0187088,0.0491611,0.79222,0.799474,0.800554,0.80375,0.809813,0.811592,0.817365,0.971059,0.965856,0.964848,0.964783,0.961759,0.961759,0.960751,-0.490875,-0.484345,-0.469609,-0.446971,-0.410278,-0.393421,-0.3873,0.986717,0.986717,0.986717,0.986717,0.980669,0.980669,0.978771,0.862137,0.855175,0.854006,0.00158478,0.831167,0.841893,0.8504,0.857119,0.860418,0.861434,0.865761,0.477535,0.476632,0.472645,0.00328247,0.429279,0.435418,0.465855,0.477535,0.486229,0.48983,0.491804,0.860144,0.861089,0.883329,0.0101135,0.808972,0.823737,0.843967,0.859124,0.934455,0.946783,1.00935,0.535869,0.540086,0.556436,0.00301528,0.531972,0.535621,0.53691,0.559055,0.561988,0.56959,0.590783,-9999,-9999
202002,5.476,1.0,4.77,1.766,1.0,6.466,1.494,1.0,5.174,4.565,1.605,6.021,1.254,5.476,1.0,4.77,1.766,1.0,6.466,1.494,1.0,148.646,58.411,1.0,61.943,58.411,1.0,-9999,-9999,291.713,291.713,0.0,293.544,1.0,299.822,293.544,1.0,1.117,1.0,1.118,1.117,1.0,99.378,99.378,0.0,6.207,6.207,0.0,10.027,9.91,1.0,0.5257079205510622,0.6867816091954023,-10.66592672413793,1.0,112.32819755747126,1.0,368.79,1.0,5.253,1.0,93.264,1.0,-1.70251,1.0,8.45176,0.994971,8.63041,0.278028,-12.8623,0.999282,-13.1341,2.17163,2.0,2,27.7931,20.2069,27.7931,20.2069,0.429142,0.979885,0.0184784,0.0190449,0.425845,0.979885,0.0183936,0.0189627,0.430881,0.978951,0.00221347,0.42333,0.424596,0.425378,0.426055,0.430237,0.433817,0.449326,0.979885,0.979885,0.97773,0.980603,0.979885,0.979885,0.971264,1.13999,0.331475,0.991677,0.0215169,0.0219705,-0.584113,1.32325,0.964904,0.0299486,0.0307131,1.13501,0.33443,0.991677,0.0215169,0.0219705,-0.584987,1.32213,0.964904,0.0299486,0.0307131,1.12772,1.13267,1.1343,1.13572,1.13999,1.14155,1.14928,0.991677,0.991677,0.991677,0.991677,0.991677,0.991677,0.991677,-0.590674,-0.58879,-0.586639,-0.584428,-0.575833,-0.57517,-0.547803,0.964904,0.964904,0.964904,0.964904,0.964904,0.964904,0.95946,1.27938,1.27689,1.27913,0.00307445,1.26322,1.26962,1.27191,1.27636,1.28052,1.28682,1.28987,0.847322,0.851047,0.848253,0.00132065,0.833465,0.839322,0.845659,0.848964,0.851601,0.852988,0.854468,1.34084,1.32011,1.33055,0.00536013,1.29952,1.30217,1.30262,1.32013,1.34066,1.36068,1.39575,0.829369,0.830412,0.837621,0.0019163,0.821441,0.825009,0.827832,0.832409,0.845376,0.851196,0.855697,-9999,-9999
202003,6.258,1.0,4.773,2.019,1.0,7.667,2.344,1.0,5.943,4.604,1.694,7.213,2.11,6.258,1.0,4.773,2.019,1.0,7.667,2.344,1.0,248.656,117.379,1.0,114.197,117.379,1.0,-9999,-9999,291.254,291.254,0.0,293.854,1.0,299.407,293.854,1.0,1.88,1.0,1.809,1.88,1.0,100.504,100.504,0.0,1.992,1.992,0.0,7.403,7.32,1.0,0.35016459829019925,0.7587365591397849,32.60761155913979,1.0,225.72860819892477,1.0,339.509,1.0,6.194,1.0,93.169,1.0,-0.235167,1.0,14.0828,0.989919,14.347,0.212718,18.2564,1.0,18.5989,1.40318,0.989919,1,23.5806,24.4194,23.5806,24.4194,0.0124926,0.975806,0.0242605,0.030755,0.00389904,0.977151,0.0239579,0.0305168,0.0161249,0.981216,0.00445585,-0.00848091,-0.00288103,0.00221577,0.00487826,0.0154522,0.0349235,0.0665894,0.977151,0.991935,0.988575,0.977151,0.979167,0.977823,0.973118,1.13467,0.332833,0.970659,0.0252632,0.0344588,-1.07458,1.53255,0.979847,0.0383271,0.0418231,1.12032,0.334582,0.97195,0.0251889,0.0344043,-1.07674,1.5293,0.981249,0.0383116,0.041809,1.10001,1.10928,1.11784,1.12808,1.14322,1.15615,1.19026,0.97195,0.99439,0.99439,0.99439,0.973352,0.949822,0.94842,-1.09343,-1.08577,-1.08019,-1.07696,-1.07458,-1.05229,-1.01358,0.984279,0.985569,0.98254,0.984054,0.979847,0.981474,0.976034,1.28024,1.27181,1.27822,0.00195476,1.26303,1.26478,1.27073,1.27753,1.27953,1.28401,1.31028,1.27276,1.26791,1.2621,0.00321033,1.22459,1.23556,1.2612,1.27031,1.27375,1.27454,1.27572,1.22276,1.26541,1.26938,0.0150086,1.16976,1.17493,1.18393,1.2498,1.29688,1.40127,1.46104,1.38884,1.36449,1.37358,0.00828366,1.32035,1.32419,1.32767,1.35802,1.39337,1.44285,1.47843,-9999,-9999
202004,9.569,1.0,7.109,2.238,1.0,11.222,3.365,1.0,9.654,7.584,1.802,11.049,2.894,9.569,1.0,7.109,2.238,1.0,11.222,3.365,1.0,357.19,191.644,1.0,194.21,191.644,1.0,-9999,-9999,302.231,302.231,0.0,307.942,1.0,309.31,307.942,1.0,3.218,1.0,3.308,3.218,1.0,100.679,100.679,0.0,1.375,1.375,0.0,5.397,5.748,1.0,0.2741644968743137,0.8236111111111112,81.6512125,1.0,368.5468354166667,1.0,365.086,0.998611,9.991,1.0,92.133,1.0,3.96164,1.0,21.0843,0.981944,24.4172,0.270463,46.1134,0.999306,53.4028,1.0261,0.98125,1,19.4,28.6,19.4,28.6,-0.260183,0.950694,0.0235146,0.0251429,-0.259184,0.95,0.0234527,0.025085,-0.267338,0.954201,0.001646,-0.291751,-0.277021,-0.274669,-0.264726,-0.260227,-0.259218,-0.251949,0.950694,0.954861,0.9625,0.963889,0.950694,0.95,0.958333,1.39627,0.309724,0.933704,0.0279932,0.0370821,-1.36598,1.77203,0.962857,0.0328638,0.035254,1.39171,0.309646,0.931852,0.0279423,0.0370437,-1.36128,1.76741,0.962857,0.0328551,0.0352459,1.33054,1.34456,1.36118,1.38521,1.3916,1.3932,1.39627,0.941296,0.941111,0.933704,0.945741,0.931852,0.947407,0.933704,-1.38503,-1.37972,-1.37176,-1.36505,-1.35708,-1.3542,-1.3469,0.96881,0.966508,0.958571,0.969841,0.961825,0.96746,0.96746,1.53229,1.52662,1.51152,0.0060888,1.43267,1.45566,1.46631,1.53051,1.53561,1.5409,1.55045,1.79039,1.7858,1.77886,0.00495914,1.71823,1.73339,1.74731,1.78611,1.79883,1.80473,1.81936,1.84065,1.75993,1.78835,0.0152359,1.67665,1.68466,1.70789,1.76685,1.84027,1.85412,1.95418,1.96153,1.95096,1.97283,0.00843789,1.91492,1.92605,1.93404,1.95437,1.99917,2.01717,2.05759,-9999,-9999
202005,12.157,1.0,9.033,2.332,1.0,13.646,3.758,1.0,12.381,9.737,1.805,13.642,3.019,12.157,1.0,9.033,2.332,1.0,13.646,3.758,1.0,442.979,262.439,1.0,245.509,262.439,1.0,-9999,-9999,316.033,316.033,0.0,320.371,1.0,321.76,320.371,1.0,4.959,1.0,4.896,4.959,1.0,101.141,101.141,0.0,0.646,0.646,0.0,5.977,6.185,1.0,0.2948549194360405,0.8689516129032256,121.72714717741935,1.0,504.69114516129036,1.0,362.638,0.998656,12.892,1.0,89.999,1.0,6.31389,1.0,35.9389,0.993952,38.4852,0.421605,71.6999,0.999328,76.7798,1.121,0.993952,1,15.6452,32.3548,15.6452,32.3548,-0.789101,0.946237,0.0330136,0.0367391,-0.805784,0.950941,0.0331089,0.0368247,-0.804694,0.950638,0.00265267,-0.834335,-0.821342,-0.817601,-0.804694,-0.791615,-0.789101,-0.778432,0.967742,0.972446,0.96707,0.958333,0.948253,0.946237,0.942204,1.68514,0.269109,0.946185,0.0301188,0.0564942,-1.93406,2.29527,0.944399,0.0449938,0.0463595,1.68857,0.2843,0.953802,0.0303378,0.0566113,-1.95845,2.2771,0.947555,0.0450024,0.0463678,1.58904,1.5979,1.63795,1.6694,1.68514,1.69349,1.70313,0.973233,0.973233,0.953802,0.942496,0.946185,0.942496,0.94608,-1.96045,-1.9564,-1.95095,-1.94158,-1.93663,-1.93406,-1.9276,0.945439,0.958478,0.958478,0.94266,0.940512,0.944399,0.938653,1.89726,1.91578,1.91789,0.0151519,1.73291,1.79892,1.85985,1.91346,1.99767,2.01157,2.03523,2.7356,2.72157,2.72259,0.016338,2.5339,2.59081,2.64042,2.72157,2.81211,2.83006,2.84169,2.67023,2.48578,2.68958,0.0374718,2.36486,2.48973,2.53221,2.69739,2.8892,2.91217,2.98381,3.2435,3.0763,3.28142,0.0312225,3.01522,3.10538,3.16795,3.24888,3.45031,3.47447,3.56016,-9999,-9999
