TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201901,2.826,1.0,2.401,1.507,1.0,3.483,2.23,1.0,3.401,2.353,1.568,5.034,2.417,2.826,1.0,2.401,1.507,1.0,3.483,2.23,1.0,141.081,39.477,1.0,54.351,39.477,1.0,-9999,-9999,256.04,256.04,0.0,285.626,1.0,294.376,285.626,1.0,1.149,1.0,1.302,1.149,1.0,100.567,100.535,1.0,0.29,0.345,1.0,1.628,1.998,0.999328,0.24297200451841686,0.9993279569892473,7.024170698924731,1.0,75.91776463978492,1.0,6.654895389448924,1.0,443.095,0.997312,6.402,7.476,1.0,1.0,30.466,1.0,-6.30775,1.0,9.51442,0.985215,9.91679,0.266795,2.92856,0.999328,3.05241,0.530909,0.984543,1,29.0645,18.9355,29.0645,18.9355,3.11343,0.988575,0.139842,0.548746,3.14592,0.987231,0.144091,0.549844,2.95496,0.986022,0.0757881,2.16027,2.26464,2.63872,2.99163,3.24895,3.3259,3.67557,0.981183,0.974462,0.982527,0.985887,0.991263,0.991263,0.991263,5.41372,2.56851,0.985253,0.191749,0.692509,-0.736605,4.59892,0.993011,0.184521,0.328704,5.41626,2.49949,0.985253,0.19462,0.69331,-0.659628,4.6048,0.989427,0.186153,0.329623,4.21273,4.3441,4.95262,5.18507,5.56724,5.67496,5.99127,0.976651,0.976651,0.983103,0.983103,0.985253,0.988479,0.988479,-1.27063,-1.17976,-1.14933,-0.718026,-0.661857,-0.635701,-0.28425,0.979391,0.970968,0.981004,0.987634,0.989427,0.994624,0.994624,6.4469,6.35446,6.19547,0.0692286,5.38388,5.56442,5.98869,6.1416,6.47397,6.55362,6.80258,3.13847,3.20854,3.24051,0.0157613,3.10607,3.13708,3.14998,3.22757,3.29244,3.30467,3.4255,3.30118,3.31978,2.88468,0.0625948,2.19343,2.40859,2.6062,2.96078,3.12555,3.28259,3.43202,1.40963,1.40815,1.2989,0.0231265,1.06045,1.15152,1.18475,1.30524,1.40789,1.41339,1.47047,-9999,-9999
201902,7.408,1.0,6.474,2.678,1.0,8.564,3.551,1.0,7.238,5.725,2.036,9.092,3.378,7.408,1.0,6.474,2.678,1.0,8.564,3.551,1.0,204.203,77.973,1.0,88.766,77.973,1.0,-9999,-9999,268.972,268.972,0.0,312.41,1.0,309.025,312.41,1.0,3.116,1.0,2.381,3.116,1.0,101.557,101.534,1.0,1.484,1.229,1.0,1.734,2.059,0.741815,0.30086779238704703,0.7284226190476192,42.72764732142857,1.0,149.94821251190476,1.0,12.502267097395832,1.0,432.316,0.999256,7.097,7.743,1.0,1.0,31.969,1.0,-2.79405,1.0,16.0806,0.985863,18.4131,0.311467,22.972,1.0,26.3041,0.761962,0.985863,1,26.7143,21.2857,26.7143,21.2857,3.98417,0.94494,0.117702,0.205323,4.21319,0.934524,0.119756,0.206508,4.01617,0.940346,0.0302227,3.55513,3.87649,3.96296,4.03076,4.15344,4.21297,4.22544,0.969494,0.953869,0.94494,0.944196,0.939732,0.930804,0.934524,8.09495,2.92786,0.945055,0.158581,0.34788,-1.39026,7.6863,0.944156,0.164365,0.266334,8.45782,3.26063,0.931613,0.160642,0.348824,-1.33886,7.73184,0.9375,0.164548,0.266447,7.57993,8.00001,8.09495,8.38656,8.57875,8.61928,8.72042,0.980769,0.946429,0.945055,0.936813,0.928866,0.928866,0.928866,-1.90321,-1.78336,-1.69534,-1.60762,-1.39135,-1.36423,-1.33886,0.909578,0.926136,0.931006,0.900162,0.945779,0.953896,0.9375,8.55015,8.47902,8.88081,0.0730263,8.13786,8.41413,8.47834,8.78091,9.32343,9.44725,9.53823,4.44748,4.26583,4.86463,0.0688817,4.19579,4.44748,4.51938,4.70008,5.2908,5.37257,5.50853,3.03215,3.6334,3.40113,0.0879274,2.45198,2.85471,2.94876,3.32886,3.79138,3.99812,4.43638,2.11003,1.49308,1.69926,0.0643928,1.16797,1.22646,1.28977,1.49586,2.09507,2.11129,2.2117,-9999,-9999
201903,11.523,1.0,10.192,2.677,1.0,12.792,3.908,1.0,10.987,8.828,2.566,13.038,3.881,11.523,1.0,10.192,2.677,1.0,12.792,3.908,1.0,294.341,126.531,1.0,138.5,126.531,1.0,-9999,-9999,279.222,279.222,0.0,330.69,1.0,320.636,330.69,1.0,6.018,1.0,4.713,6.018,1.0,101.15,101.127,1.0,0.279,0.071,1.0,1.874,2.424,0.997984,0.33610411948066804,0.9979838709677419,89.28142809139784,1.0,243.3288246674059,1.0,18.601218635887097,1.0,415.983,0.999328,9.555,9.844,1.0,1.0,31.168,1.0,-0.32312,1.0,18.5679,0.998656,25.356,0.370457,46.9489,1.0,64.1125,0.906684,0.998656,1,23.5484,24.4516,23.5484,24.4516,0.554646,0.994624,0.101851,0.273446,0.508043,0.992608,0.0950902,0.271,0.440442,0.991112,0.0361065,-0.0750096,0.093753,0.37278,0.513317,0.581683,0.601292,0.747779,0.980511,0.981855,0.986559,0.992608,0.992608,0.994624,0.995296,6.51328,2.15693,1.0,0.118227,0.145117,-5.19581,8.5301,0.989355,0.150132,0.486222,6.54657,2.15841,1.0,0.117408,0.144449,-5.31293,8.43059,0.98543,0.139902,0.483162,6.23639,6.39107,6.45215,6.49313,6.54399,6.55937,6.66259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.14688,-5.96982,-5.60567,-5.28944,-5.19581,-5.0449,-4.84228,0.961551,0.964293,0.973544,0.98543,0.989355,0.989355,0.990699,7.41623,7.56919,7.50214,0.0220133,7.30933,7.33568,7.3868,7.52287,7.59259,7.63029,7.70751,7.22258,7.06114,7.0617,0.0377182,6.5879,6.82438,6.88364,7.09854,7.25651,7.29726,7.36801,2.97977,3.74659,4.13627,0.0802425,2.9688,3.70795,3.88441,4.08995,4.48608,4.62304,4.68122,3.37506,2.76546,3.14067,0.141617,1.86229,1.8731,1.89499,3.36199,3.98435,4.13114,4.24005,-9999,-9999
201904,13.838,1.0,12.464,1.708,1.0,14.847,2.537,1.0,13.821,12.143,1.732,15.063,2.585,13.838,1.0,12.464,1.708,1.0,14.847,2.537,1.0,386.898,129.851,1.0,140.304,129.851,1.0,-9999,-9999,316.554,316.554,0.0,364.101,1.0,362.924,364.101,1.0,4.262,1.0,4.24,4.262,1.0,100.601,100.587,1.0,3.557,2.77,1.0,2.309,2.627,0.909028,0.40530154991948464,0.8986111111111111,100.04601538120566,0.9965277777777778,249.18347018434102,0.9993055555555554,16.615233642638888,1.0,414.756,1.0,12.263,12.208,1.0,1.0,31.228,1.0,0.695637,1.0,46.8411,1.0,57.3432,0.702475,34.3476,1.0,42.0486,0.67937,0.996528,1,20.3667,27.6333,20.3667,27.6333,-1.83602,0.995833,0.0992793,0.114809,-1.85248,0.995833,0.0993369,0.114859,-1.80422,0.993455,0.00956046,-1.87257,-1.85347,-1.84252,-1.82605,-1.77248,-1.73815,-1.68892,0.995139,0.995833,0.995833,0.995139,0.998611,0.996528,0.999306,6.03862,1.59506,0.993939,0.10988,0.118444,-7.49149,9.83604,0.997701,0.145426,0.159258,6.00691,1.57108,0.993939,0.108648,0.117302,-7.49377,9.85985,0.997701,0.145726,0.159532,5.96718,6.00691,6.02612,6.05752,6.08373,6.09535,6.19288,0.993939,0.993939,1.0,0.977273,0.993939,0.977273,1.0,-7.55038,-7.49547,-7.48843,-7.47368,-7.37683,-7.36564,-7.32235,0.99262,0.997701,0.997701,0.996467,0.997701,0.997701,0.997701,6.7464,6.80585,6.89503,0.0310459,6.61476,6.71917,6.80432,6.90361,6.98249,7.01546,7.05995,8.73132,8.65833,8.69924,0.0359812,8.30353,8.4834,8.63785,8.72567,8.77316,8.78472,8.91811,4.84765,4.82825,4.8544,0.0573626,4.23313,4.49184,4.5905,4.83082,5.19642,5.36544,5.38868,5.61131,5.61029,5.80253,0.0502214,5.46781,5.52536,5.59194,5.65781,5.87179,6.28232,6.29743,-9999,-9999
201905,15.184,1.0,13.753,1.612,1.0,16.021,2.428,1.0,15.62,14.058,1.528,16.538,2.248,15.184,1.0,13.753,1.612,1.0,16.021,2.428,1.0,455.542,148.349,1.0,147.413,148.349,1.0,-9999,-9999,336.229,336.229,0.0,381.857,1.0,385.21,381.857,1.0,3.086,1.0,3.937,3.086,1.0,100.471,100.465,1.0,3.691,6.974,1.0,1.924,2.232,0.932124,0.3372745636829509,0.9321236559139785,120.64472394760924,0.9993279569892473,285.28703205309137,1.0,16.950622139583334,1.0,407.7,1.0,13.605,13.452,1.0,1.0,33.745,1.0,1.40174,1.0,64.2772,0.994624,80.2783,0.885679,31.6464,1.0,39.5243,0.626344,0.993952,1,17.7097,30.2903,17.7097,30.2581,-4.56121,0.981183,0.124215,0.277141,-4.60982,0.977823,0.126128,0.278003,-4.68918,0.975353,0.0427431,-5.47115,-4.9765,-4.78676,-4.61,-4.51536,-4.48101,-4.39807,0.962366,0.968414,0.961694,0.977151,0.981183,0.983871,0.979167,5.74752,1.73765,0.977629,0.146562,0.166619,-10.3486,11.8687,0.982992,0.169941,0.368716,5.83375,1.74319,0.975732,0.14882,0.168608,-10.4687,11.8664,0.978542,0.171869,0.369609,5.2643,5.6656,5.70937,5.75742,5.80685,5.82411,5.84155,0.957355,0.962848,0.974034,0.970438,0.977629,0.977629,0.975732,-11.3873,-10.9141,-10.74,-10.4727,-10.288,-10.2597,-10.1074,0.963615,0.971187,0.960781,0.97743,0.982992,0.981736,0.978004,5.94659,6.00551,6.09743,0.0271257,5.86615,5.90022,5.95348,6.09583,6.18637,6.22582,6.44237,10.623,10.6153,10.7866,0.0561816,10.4274,10.4807,10.5635,10.6878,10.9294,10.9954,11.3655,6.06632,5.97539,5.79938,0.0709218,5.13215,5.18867,5.30707,5.91939,6.14048,6.16795,6.24245,8.83806,7.62324,8.22307,0.0838411,7.50353,7.68394,7.75466,8.07244,8.79231,8.83806,9.02982,-9999,-9999
201906,25.879,1.0,23.827,2.237,1.0,26.954,3.262,1.0,25.249,22.592,2.027,26.643,3.219,25.879,1.0,23.827,2.237,1.0,26.954,3.262,1.0,485.89,239.195,1.0,225.873,239.195,1.0,-9999,-9999,369.165,369.165,0.0,452.559,1.0,422.518,452.559,1.0,13.665,1.0,13.096,13.665,1.0,100.788,100.813,1.0,0.427,0.003,1.0,1.904,2.192,0.963889,0.334424669117647,0.9638888888888888,201.8652416666666,1.0,459.9910852227083,1.0,27.005319238541666,1.0,410.477,0.997917,17.924,16.987,1.0,1.0,23.836,1.0,6.47348,1.0,94.0047,0.995833,125.504,1.2105,52.4592,0.999306,70.0373,0.685136,0.995833,1,16.5333,31.4667,16.5333,31.4333,-4.32234,0.968056,0.114709,0.131621,-4.34654,0.9625,0.115452,0.13227,-4.31446,0.962361,0.0161971,-4.47824,-4.38562,-4.35372,-4.32478,-4.29682,-4.25653,-4.10601,0.956944,0.959722,0.959722,0.961111,0.968056,0.966667,0.970139,7.44987,1.48613,0.982108,0.113757,0.217861,-10.2793,11.1324,0.96082,0.158311,0.254447,7.44381,1.49034,0.972304,0.114294,0.218142,-10.3109,11.1095,0.957661,0.158774,0.254735,7.31096,7.37849,7.44108,7.46834,7.65801,7.75009,7.85463,0.982108,0.972304,0.972304,0.972304,0.972304,0.972304,0.970221,-10.7771,-10.5095,-10.4532,-10.2785,-10.2286,-10.1111,-9.98876,0.938474,0.953427,0.953427,0.958737,0.96082,0.958737,0.959845,7.51681,7.70565,7.9355,0.0460285,7.524,7.6297,7.68281,7.94544,8.10533,8.2565,8.4531,11.978,12.0522,12.25,0.0505098,11.8649,11.9539,12.0134,12.1107,12.4541,12.5786,12.931,6.21405,7.04124,6.94799,0.0828481,6.00759,6.50264,6.72696,6.91025,7.07531,7.19198,7.38854,10.7856,11.1978,11.1852,0.0646714,10.6341,10.9491,11.0233,11.142,11.2518,11.2928,12.1331,-9999,-9999
201907,25.822,1.0,23.743,2.14,1.0,26.939,3.19,1.0,26.645,24.363,1.977,27.873,3.2,25.822,1.0,23.743,2.14,1.0,26.939,3.19,1.0,471.212,217.733,1.0,197.017,217.733,1.0,-9999,-9999,387.996,387.996,0.0,460.22,1.0,443.849,460.22,1.0,10.824,1.0,14.528,10.824,1.0,100.514,100.547,1.0,1.571,1.303,1.0,1.769,1.947,1.0,0.28242143817204296,1.0,187.0841466769618,0.9993279569892474,417.7380166153798,0.9986559139784947,24.518477431787634,1.0,404.257,1.0,19.603,18.721,1.0,1.0,20.989,1.0,4.67979,1.0,82.2612,0.999328,115.963,1.10349,47.0435,1.0,66.317,0.62267,0.998656,1,16.871,31.129,16.8387,31.129,-3.09175,0.956989,0.0960826,0.295141,-3.23075,0.943548,0.0956379,0.294996,-3.26902,0.944187,0.0334765,-3.71669,-3.63161,-3.34647,-3.23851,-3.10121,-3.07348,-3.0487,0.909946,0.911962,0.94086,0.943548,0.967742,0.959005,0.962366,7.09871,1.60834,0.979443,0.108688,0.181383,-8.43346,9.63099,0.944992,0.131199,0.378282,7.15752,1.59924,0.979443,0.106457,0.180055,-8.67296,9.52643,0.924399,0.129815,0.377804,6.82408,6.8567,6.93918,7.077,7.10343,7.14713,7.29682,0.936854,0.936854,0.988615,0.977651,0.979443,0.979443,0.979443,-9.23224,-9.07938,-8.85111,-8.68494,-8.40114,-8.36977,-8.32828,0.894756,0.899155,0.90307,0.924399,0.948114,0.956439,0.952276,7.99292,8.13474,8.04897,0.0277683,7.75076,7.85027,7.9446,8.02447,8.13474,8.22897,8.37695,11.3046,11.3655,11.318,0.0359318,10.8788,11.0879,11.1312,11.3071,11.4243,11.5219,11.7777,7.50673,7.74944,7.69089,0.152164,6.11616,6.65705,7.026,7.50673,8.06179,8.80856,9.37282,10.8131,10.9932,10.8552,0.0986822,9.84599,10.1962,10.4594,10.7956,11.2202,11.304,12.0787,-9999,-9999
201908,25.525,1.0,23.612,2.199,1.0,26.799,3.111,1.0,25.934,23.913,1.826,27.28,3.024,25.525,1.0,23.612,2.199,1.0,26.799,3.111,1.0,414.925,188.911,1.0,176.256,188.911,1.0,-9999,-9999,387.971,387.971,0.0,465.524,1.0,443.82,465.524,1.0,9.235,1.0,11.429,9.235,1.0,100.791,100.832,1.0,1.416,1.345,1.0,1.599,1.904,0.885081,0.2523490982654437,0.8850806451612904,159.47304231011208,0.9993279569892473,362.27087623992514,0.9986559139784946,22.592697402284944,1.0,396.674,0.987903,20.032,19.283,1.0,1.0,21.629,1.0,3.75198,1.0,77.3303,0.99328,106.944,0.999579,35.0817,0.991935,48.5161,0.571027,0.990591,1,19.1935,28.8065,19.1935,28.6774,-2.56023,0.891801,0.0909535,0.188547,-2.69396,0.883065,0.0890973,0.187659,-2.65155,0.8917,0.0325624,-3.0229,-2.84343,-2.77024,-2.69396,-2.55579,-2.51311,-2.30817,0.883065,0.880376,0.883065,0.883065,0.893817,0.896505,0.923387,6.20072,1.49907,0.935214,0.106936,0.129329,-8.21559,9.57256,0.863908,0.129218,0.300521,6.19323,1.49404,0.932142,0.101698,0.125033,-8.41966,9.47461,0.851215,0.126128,0.299206,6.07003,6.09253,6.17444,6.20792,6.22893,6.238,6.51635,0.930606,0.930606,0.935214,0.92721,0.935053,0.933517,0.956316,-8.97809,-8.67817,-8.47167,-8.40994,-8.21559,-8.13553,-8.01315,0.861118,0.850936,0.857926,0.852438,0.863908,0.885246,0.901959,6.566,6.65472,6.65784,0.028387,6.41645,6.49553,6.51805,6.56029,6.78579,6.90606,6.96639,9.2589,9.34868,9.30939,0.0290611,9.04591,9.11988,9.15985,9.28866,9.39506,9.44794,9.53196,5.552,5.47437,5.63268,0.124277,4.49046,4.73031,4.91087,5.46985,6.18885,6.40489,7.1684,9.12496,9.1839,9.1153,0.0926169,8.2826,8.54041,8.62617,9.08575,9.62272,9.75515,9.93298,-9999,-9999
201909,20.445,1.0,19.146,2.236,1.0,21.563,2.896,1.0,20.665,19.135,1.759,21.977,2.699,20.445,1.0,19.146,2.236,1.0,21.563,2.896,1.0,331.314,136.324,1.0,128.066,136.324,1.0,-9999,-9999,354.862,354.862,0.0,419.094,1.0,406.317,419.094,1.0,6.455,1.0,7.154,6.455,1.0,100.992,101.02,1.0,2.214,2.63,1.0,1.701,2.021,0.975,0.2589374412225705,0.9638888888888888,104.94674451832152,0.9993055555555554,262.1624138398611,1.0,17.585441419305557,1.0,413.939,1.0,17.841,17.723,1.0,1.0,25.795,1.0,-0.162984,1.0,60.9032,1.0,79.3825,0.901811,19.9168,0.999306,25.96,0.5353,0.998611,1,22.1667,25.8333,22.1667,25.8333,-0.536563,0.921528,0.111973,0.151377,-0.482519,0.922222,0.109443,0.149515,-0.559857,0.920729,0.0160064,-0.758944,-0.664623,-0.636422,-0.539411,-0.475485,-0.460889,-0.444441,0.910417,0.910417,0.922222,0.910417,0.93125,0.934722,0.934722,6.33262,1.97963,0.89771,0.149605,0.217124,-6.38697,9.04942,0.941749,0.148658,0.170918,6.51225,2.11392,0.900674,0.148936,0.216664,-6.44541,9.25011,0.940617,0.148554,0.170827,6.03508,6.15608,6.22117,6.3999,6.44167,6.47079,6.52437,0.878804,0.878804,0.878804,0.923295,0.921852,0.921852,0.919616,-6.91571,-6.51684,-6.4792,-6.4439,-6.36401,-6.34815,-6.2921,0.906634,0.937951,0.935382,0.937951,0.941749,0.945453,0.945302,7.6241,8.08169,7.87243,0.0488027,7.44026,7.52545,7.62363,7.8415,8.08169,8.13849,8.42803,8.13336,8.56421,8.43229,0.0445659,8.06589,8.13336,8.1849,8.39853,8.61028,8.74105,8.92059,6.99927,8.47793,7.61285,0.206656,5.00438,6.56598,6.77894,7.27512,8.48391,9.00642,9.44291,7.7937,8.39663,7.9097,0.0715324,7.0443,7.44786,7.59448,7.83842,8.26107,8.38528,8.51283,-9999,-9999
201910,16.271,1.0,15.505,1.447,1.0,17.114,2.158,1.0,16.405,15.325,1.382,17.594,2.108,16.271,1.0,15.505,1.447,1.0,17.114,2.158,1.0,238.008,79.998,1.0,80.164,79.998,1.0,-9999,-9999,342.379,342.379,0.0,397.183,1.0,392.176,397.183,1.0,1.785,1.0,3.07,1.785,1.0,100.988,101.009,1.0,1.812,1.723,1.0,1.89,2.084,0.985887,0.2613265356897735,0.9858870967741934,51.73102822580647,1.0,153.84246138528226,1.0,11.174477601814514,1.0,424.654,1.0,15.937,16.095,1.0,1.0,25.921,1.0,-1.69704,1.0,38.2561,1.0,45.4912,0.669668,6.65337,0.999328,7.91166,0.5054,0.999328,1,25.2581,22.7419,25.2581,22.7419,1.66058,0.979839,0.0945448,0.378379,1.65779,0.976478,0.0934404,0.378105,1.4465,0.979805,0.0542511,0.782756,1.04858,1.13962,1.50479,1.73791,1.78134,1.83084,0.96707,0.972446,0.980511,0.981183,0.989247,0.990591,0.989247,6.17841,1.70939,0.977204,0.103132,0.451205,-3.43041,7.40327,0.982346,0.152382,0.331207,6.21149,1.67587,0.977204,0.101313,0.450793,-3.46984,7.35068,0.97527,0.153159,0.331565,5.26735,5.45811,5.5278,6.02948,6.32646,6.33663,6.588,0.987957,0.987957,0.987957,0.987957,0.989301,0.985269,0.990591,-4.19137,-4.0224,-3.73738,-3.56271,-3.45676,-3.43426,-3.37131,0.945827,0.955842,0.965553,0.990469,0.97527,0.989067,0.98369,6.63522,6.68489,6.31672,0.0654098,5.56342,5.89643,5.96366,6.41984,6.61153,6.68489,6.86324,4.68986,5.0271,4.87022,0.0189709,4.68986,4.73121,4.7817,4.84421,4.97476,5.01291,5.04359,4.38441,7.41559,5.46591,0.146577,4.17135,4.38441,4.72894,5.387,5.80414,6.17074,7.08189,3.22282,2.71509,2.96171,0.0729635,2.1542,2.43031,2.56167,3.02974,3.31199,3.42642,3.58676,-9999,-9999
201911,9.957,1.0,9.654,1.073,1.0,10.388,1.268,1.0,10.654,10.169,1.062,11.344,1.283,9.957,1.0,9.654,1.073,1.0,10.388,1.268,1.0,160.384,33.328,1.0,40.361,33.328,1.0,-9999,-9999,321.233,321.233,0.0,346.852,1.0,368.224,346.852,1.0,0.369,1.0,1.09,0.369,1.0,100.011,100.022,1.0,6.396,6.53,1.0,2.46,2.467,0.965972,0.35069351766935697,0.9659722222222221,10.728741740543736,0.9993055555555554,63.83619764642287,0.9993055555555554,5.022912921041666,1.0,418.983,1.0,12.53,13.184,1.0,1.0,33.085,1.0,-3.92582,1.0,31.219,1.0,37.1232,0.756328,-8.59644,1.0,-10.2222,0.62538,1.0,2,28.2,19.8,28.2,19.8,3.8833,0.990972,0.0972345,0.33531,4.09824,0.988194,0.0971515,0.335286,3.94191,0.988108,0.044412,3.4027,3.51295,3.75765,3.93997,4.13864,4.15476,4.28068,0.977083,0.990972,0.991667,0.990972,0.988194,0.988194,0.982639,5.43706,1.53477,0.996429,0.104266,0.33488,1.34801,4.75369,0.983333,0.174613,0.313196,5.69862,1.73621,0.991667,0.105034,0.33512,1.47761,4.88836,0.983333,0.170678,0.311019,5.02929,5.15254,5.37529,5.52265,5.75287,5.78901,5.97427,0.970238,0.995238,0.996429,0.996429,0.991667,0.991667,0.984524,0.813557,0.979733,1.14349,1.3583,1.49614,1.49974,1.51597,0.986667,0.983333,0.985,0.983333,0.983333,0.983333,0.983333,5.02318,5.01338,4.97783,0.0226206,4.68009,4.80711,4.82322,5.02318,5.07891,5.0845,5.15135,0.930525,0.915139,1.03593,0.0343634,0.707392,0.8759,0.922701,1.01265,1.08891,1.11517,1.29516,4.4731,4.95195,4.49995,0.0737818,3.65959,4.0448,4.09475,4.35682,4.94327,5.09468,5.18831,2.20365,2.15178,2.00211,0.0167355,1.81779,1.86506,1.91584,2.01301,2.06808,2.13246,2.16017,-9999,-9999
